label,text
ham,Hey are we meeting today
ham,Call me when you are free
ham,Good morning have a nice day
ham,Let's complete the assignment together
ham,See you in class
ham,Can you send me the notes
ham,What time is the meeting
ham,I'll call you later
ham,Did you finish your work
ham,Let's go for lunch

spam,Win money now click this link
spam,You have won a free prize claim now
spam,Limited time offer act now
spam,Click here to get reward
spam,You are selected for cash prize
spam,Free gift waiting claim immediately
spam,Urgent response needed click link
spam,Your account is hacked click here
spam,Verify your account immediately
spam,Congratulations you won lottery

spam,Get rich quick scheme join now
spam,Earn money from home easily
spam,Click to unlock exclusive offer
spam,Act fast limited seats available
spam,Special discount click now
spam,Your bank account needs verification
spam,Login now to avoid suspension
spam,Claim your bonus today
spam,Free entry into contest click here
spam,Winner selected claim your reward